fpkmX	fpkmY	highlight	gene_short_name
ENSMUSG00000002329	15.9308	23.5087	FALSE	Mdp1
ENSMUSG00000002332	28.49	57.2751	FALSE	Dhrs1
ENSMUSG00000002341	72.9672	41.4036	FALSE	Ncan
ENSMUSG00000002342	9.51327	6.43353	FALSE	Tmem161a
ENSMUSG00000002343	11.0005	13.1426	FALSE	Armc6
ENSMUSG00000002345	12.8649	31.3068	FALSE	2310045N01Rik
ENSMUSG00000002346	23.8862	2.81393	FALSE	Slc25a42
ENSMUSG00000002365	7.7536	5.06796	FALSE	Snx9
ENSMUSG00000002372	9.48809	9.62116	FALSE	Ranbp3
ENSMUSG00000002379	23.8638	35.5969	FALSE	Ndufa11
ENSMUSG00000002384	1	1.109819	FALSE	Bmp8b
ENSMUSG00000002393	2.47491	8.44149	FALSE	Nr2f6
ENSMUSG00000002395	18.4454	44.2163	FALSE	Use1
ENSMUSG00000002396	1.775551	4.85429	FALSE	Ocel1
ENSMUSG00000002409	11.3905	5.28192	FALSE	Dyrk1b
ENSMUSG00000002413	109.497	74.8849	FALSE	Braf
ENSMUSG00000002416	71.8155	88.5424	FALSE	Ndufb2
ENSMUSG00000002428	7.1351	11.1694	FALSE	Hltf
ENSMUSG00000002455	14.5369	21.7484	FALSE	Prpf6
ENSMUSG00000002458	18.843	22.5065	FALSE	Rgs19
ENSMUSG00000002459	1.404439	1.927981	FALSE	Rgs20
ENSMUSG00000002475	6.38452	6.85378	FALSE	Abhd3
